32x aburner	冲破火网2 (欧洲)
gameboy tazmani2u	旋风狗泰兹2 (美国, THQ)
gameboy tazmania	古惑狼-寻找失落的海鸟 (欧洲, THQ)
gameboy tazmaniap	古惑狼-寻找失落的海鸟 (欧洲, 原型版)
gameboy tbirds	雷鸟救援队 (日本)
gameboy tecmobwl	特库摩橄榄球 (美国)
gameboy tecmobwlj	特库摩橄榄球 (日本)
gameboy tekirush	的中竞马 (日本)
gameboy tekkaman	宇宙骑士 (日本)
gameboy tekkyfgt	铁球大战-英雄挑战外传 (日本)
gameboy tenchiku	吞食天地 (日本)
gameboy tenjin	天神怪战 (日本)
gameboy tennis	网球 (世界)
gameboy term2	魔鬼终结者2-末日审判 (欧洲, 美国)
gameboy tesserae	方块跳棋 (欧洲)
gameboy tesseraep	方块跳棋 (原型版)
gameboy tesseraeu	方块跳棋 (美国)
gameboy tetris	俄罗斯方块 (世界, 修订版 1)
gameboy tetris2	俄罗斯方块 2 (欧洲, 修订版 1)
gameboy tetris2a	俄罗斯方块 2 (欧洲, 美国)
gameboy tetris2u	俄罗斯方块 2 (美国)
gameboy tetrisa	俄罗斯方块 (日本)
gameboy tetrisat	耀西方块 (欧洲, 美国, 修订版 1)
gameboy tetrisata	耀西方块 (美国)
gameboy tetrisbl	超级炸弹俄罗斯方块 (欧洲, 美国)
gameboy tetrisfl	俄罗斯方块-闪光版 (日本)
gameboy tetrispl	俄罗斯方块加强版 (欧洲, 美国)
gameboy tetrisplj	俄罗斯方块加强版 (日本)
gameboy tintin	丁丁在西藏 (欧洲, En / Fr / De / Nl)
gameboy tintina	丁丁在西藏 (欧洲, En / Es / It / Sv)
gameboy tintinap	丁丁在西藏 (欧洲, En / Es / It / Sv, 原型版)
gameboy tintinpr	丁丁与太阳神的囚徒 (欧洲)
gameboy tipoff	争球 (欧洲)
gameboy titus	狐狸铁达时 (欧洲, 美国)
gameboy tmnt	忍者神龟 (欧洲)
gameboy tmnt2	忍者神龟2 (欧洲)
gameboy tmnt2j	忍者神龟2 (日本)
gameboy tmnt2jp	忍者神龟2 (日本, 原型版, 19910520)
gameboy tmnt2u	忍者神龟2 (美国)
gameboy tmnt2up	忍者神龟2 (美国, 原型版)
gameboy tmnt3	忍者神龟3 (欧洲)
gameboy tmnt3a	忍者神龟3 (欧洲, 修订版 1)
gameboy tmnt3j	忍者神龟3 (日本)
gameboy tmnt3u	忍者神龟3 (美国)
gameboy tmntj	忍者神龟 (日本)
gameboy tmntu	忍者神龟 (美国)
gameboy tokio	多基欧战鬼-英雄列传 (日本)
gameboy tokoromj	塔库罗麻将 (日本)
gameboy tokyofan	东京迪斯尼乐园-梦幻之旅 (日本)
gameboy tokyomic	东京迪斯尼乐园-米奇的灰姑娘神秘之旅 (日本)
gameboy tomjer2j	猫和老鼠2 (日本)
gameboy tomjerfa	猫和老鼠2 (欧洲, 美国)
gameboy tomjerfap	汤姆与杰瑞 1994 (原型版)
gameboy tomjerry	汤姆 & 杰瑞 (欧洲, 美国)
gameboy tomjerryj	猫和老鼠 (日本)
gameboy topgun	壮志凌云-勇气与荣耀 (欧洲, 美国)
gameboy toprankt	顶级网球 (欧洲)
gameboy topranktu	顶级网球 (美国)
gameboy torpedo	鱼雷射程 (美国)
gameboy torpedoj	鱼雷射程 (日本)
gameboy toshin	热斗-斗神传 (欧洲)
gameboy toshinj	热斗-斗神传 (日本, 修订版 1)
gameboy toshinja	热斗-斗神传 (日本)
gameboy toshinu	热斗-斗神传 (美国)
gameboy totalcar	绝地大屠杀 (欧洲, 美国)
gameboy totsutnk	突袭回射 (日本)
gameboy totsuval	土豆大冒险 (日本)
gameboy toxicc	禁毒卫士 (美国)
gameboy trackfld	田径运动场 (欧洲, 美国)
gameboy trackmet	田径运动会 (欧洲, 美国)
gameboy trackmetj	田径运动会 (日本)
gameboy travguid	信息天才系统-弗罗默旅行指南 (美国)
gameboy trax	突袭回射 (欧洲, 美国)
gameboy tripldar	体育画报少年版-终极三项挑战 (美国)
gameboy tripwrld	冒险世界 (欧洲)
gameboy tripwrldj	冒险世界 (日本)
gameboy truelies	真实谎言 (欧洲, 美国)
gameboy trumpbo2	王牌少年2 (日本)
gameboy trumpboy	王牌少年 (日本)
gameboy trumpcol	王牌收藏GB (日本)
gameboy tshogihy	诘将棋百番胜负 (日本)
gameboy tshogika	神吉五段-诘将棋 (日本)
gameboy tshogikap	神吉五段-诘将棋 (日本, 原型版)
gameboy tshogimo	诘将棋问题大集 (日本)
gameboy tsumego	围棋 (日本)
gameboy tsurisen	钓鱼先生 (日本)
gameboy ttoon2j	宾尼兔大冒险2 (日本)
gameboy ttoonadv	兔宝宝历险记 (日本)
gameboy ttoonbab	宾尼兔大冒险 (欧洲, 美国)
gameboy ttoonbabp	宾尼兔大冒险 (原型版, 19910906)
gameboy ttoonbabp1	宾尼兔大冒险 (日本, 原型版, 19910716)
gameboy ttoonmon	宾尼兔大冒险2 (欧洲, 美国)
gameboy ttoonspt	宾尼兔大冒险-心跳的运动节 (日本)
gameboy ttoonwak	宾尼兔大冒险-心跳的运动节 (欧洲)
gameboy ttoonwaku	宾尼兔大冒险-心跳的运动节 (美国)
gameboy tumblep	吸尘器 (欧洲, 美国)
gameboy tumblepj	吸尘器 (日本)
gameboy turnburn	爆燃战机-F-14空战模拟器 (美国)
gameboy turok	恐龙猎人 (欧洲, 美国)
gameboy turokj	恐龙猎人 (日本)
gameboy turrican	战士 (澳大利亚, 欧洲, 美国)
gameboy tvchamp	电视冠军 (日本)
gameboy twin	孪生 (日本)
gameboy twinbee	兵蜂 (日本)
gameboy uchiiwai	名人拼图 (日本)
gameboy ultimar2	创世纪外传-黑骑士阴谋 (美国)
gameboy ultimar2j	创世纪-神秘的美德2 (日本)
gameboy ultimarv	创世纪-神秘的美德 (美国)
gameboy ultimarvj	创世纪-神秘的美德 (日本)
gameboy ultrabal	奥特曼滚球 (日本)
gameboy ultraclb	奥特曼俱乐部 (日本)
gameboy ultraglf	极端高尔夫 (美国)
gameboy ultraglfp	极端高尔夫 (原型版, 19911120)
gameboy ultraman	奥特曼 (日本)
gameboy ultratou	奥特曼-超斗士激传 (日本)
gameboy uminus2	海之钓鱼太郎2 (日本)
gameboy undercop	暴力刑警外传 (日本)
gameboy univsold	万能战士 (欧洲, 美国)
gameboy uno	乌诺纸牌-小小世界 (日本)
gameboy uno2	乌诺纸牌2-小小世界 (日本)
gameboy uoozu	斗鱼 (日本)
gameboy uruseiya	福星小子 (日本)
gameboy ustrike	都市攻击 (欧洲, 美国)
gameboy valiant	瓦利安特王子传奇 (欧洲)
gameboy varpack	大流士-泰托合集 (日本)
gameboy vattle	银河战机 (日本)
gameboy vegastak	拉斯维加斯黄金乐园之梦 (欧洲, 美国)
gameboy velious	维里斯-罗兰魔兽王 (日本)
gameboy velious2	维里斯2-复仇之邪神 (日本)
gameboy virtwars	剪草人 (日本)
gameboy vitamina	维生素王国物语 (日本)
gameboy volleyfr	火焰齐射 (日本)
gameboy vrally	V拉力-锦标赛版 (欧洲)
gameboy vsbattle	生化战斗 (日本)
gameboy vshero	对战英雄-格斗王之道 (日本)
gameboy warblast	瓦里奥对炸弹人 (欧洲, 美国)
gameboy wario	瓦里奥大陆 (世界)
gameboy wario2	瓦里奥大陆2 (欧洲, 美国)
gameboy waterwrl	未来水世界 (欧洲)
gameboy waverace	水上摩托 (欧洲, 美国)
gameboy waynewld	韦恩世界 (美国)
gameboy wbeach91	世界沙滩排球-GB杯1991 (日本)
gameboy wbeach92	世界沙滩排球-GB杯1992 (欧洲)
gameboy wbeach92p	世界沙滩排球-GB杯1992 (原型版)
gameboy wbowling	世界保龄球 (美国)
gameboy wbowlingj	世界保龄球 (日本)
gameboy wcircuit	世界环行赛道系列赛车 (美国)
gameboy wcstrikr	世界杯前锋 (日本)
gameboy wcup94	世界杯足球美国'94 (欧洲)
gameboy wcup94j	世界杯足球美国'94 (日本)
gameboy wcup98	世界杯足球'98 (欧洲, 美国)
gameboy wcwmain	WCW职业摔跤 (欧洲, 美国)
gameboy weddingp	婚纱小天使 (日本)
gameboy welcome	欢迎来到樱桃兔子乐园 (日本)
gameboy wereback	回归-恐龙故事 (欧洲, 美国)
gameboy wh2	热斗-世界英雄2喷射版 (欧洲, 美国)
gameboy wh2j	热斗-世界英雄2喷射版 (日本)
gameboy wh2ja	热斗-世界英雄2喷射版 (日本, 修订版 1)
gameboy wheelfor	命运之轮 (美国)
gameboy wicehock	世界冰球 (日本)
gameboy wildsnak	超级蛇方块 (美国)
gameboy winnhors	优胜之马 (日本)
gameboy wintgold	冬季奖牌 (欧洲)
gameboy wizardg1	辟邪除妖外传 (日本)
gameboy wizardg2	辟邪除妖外传2 (日本)
gameboy wizardg3	辟邪除妖外传3 (日本)
gameboy wizardwx	巫师与战士第X章-恐惧堡垒 (澳大利亚, 欧洲, 美国)
gameboy wordtris	拼字方块 (美国)
gameboy wordtrisp	拼字方块 (v6 原型版)
gameboy wordzap	活力拼写 (美国)
gameboy worms	百战天虫 (欧洲)
gameboy wsoccer	世界足球 (日本)
gameboy wwfking	WWF冠军之戒 (欧洲, 美国)
gameboy wwfkingj	WWF冠军之戒 (日本)
gameboy wwfraw	WWF世界摔角联盟 (欧洲, 美国)
gameboy wwfsstar	WWF超级明星 (欧洲, 美国)
gameboy wwfsstarj	WWF超级明星 (日本)
gameboy wwfsstr2	WWF超级明星2 (欧洲, 美国)
gameboy wwfsstr2j	WWF超级明星2 (日本)
gameboy wwfwarz	WWF战斗区域 (欧洲, 美国)
gameboy xenon2	氙2-超能爆炸 (欧洲, 美国)
gameboy xenon2j	氙2-超能爆炸 (日本)
gameboy xj	X战车 (日本)
gameboy xtrabase	家庭棒球场 (美国)
gameboy yaiba	剑勇传说 (日本)
gameboy yakuman	役满 (日本, 修订版 1)
gameboy yakumana	役满 (日本)
gameboy yamato	宇宙战舰大和号 (日本)
gameboy yanchamr	元祖洋枪丸 (中国, 日本)
gameboy yehrude	瓢虫王子 (中国台湾)
gameboy yogibear	瑜珈熊淘金行动 (欧洲)
gameboy yogibearu	瑜珈熊淘金行动 (美国)
gameboy yomihon	梦五誉身-天神怪战2 (日本)
gameboy yoshi	耀奇的甜蛋卷 (美国)
gameboy yoshicok	耀西饼干 (欧洲, 美国)
gameboy yossycok	耀奇的饼干 (日本)
gameboy yossypnp	耀奇的魔法宝石 (日本)
gameboy yossytam	耀奇的甜蛋卷 (日本)
gameboy yugidm	游戏王-决斗怪兽 (日本)
gameboy yuuenchi	少年芦边-惊恐乐园 (日本)
gameboy yuyu	幽游白书 (日本)
gameboy yuyu2	幽游白书2 (日本)
gameboy yuyu3	幽游白书3 (日本)
gameboy yuyu4	幽游白书4 (日本)
gameboy zas	ZAS战机 (日本)
gameboy zeldalnk	塞尔达传说-梦见岛 (欧洲, 美国, 修订版 2)
gameboy zeldalnka	塞尔达传说-梦见岛 (加拿大, 欧洲, 美国, 修订版 1)
gameboy zeldalnkb	塞尔达传说-梦见岛 (加拿大, 欧洲, 美国)
gameboy zeldalnkc	塞尔达传说-梦见岛 (加拿大, 法语)
gameboy zeldalnkf	塞尔达传说-梦见岛 (法国)
gameboy zeldalnkg	塞尔达传说-梦见岛 (德国)
gameboy zeldalnkj	塞尔达传说-梦见岛 (中国, 日本, 修订版 1)
gameboy zeldalnkja	塞尔达传说-梦见岛 (日本)
gameboy zen	银河忍者 - 禅 (欧洲)
gameboy zenprow	全日本职业摔角 (日本)
gameboy zenu	银河忍者 - 禅 (美国)
gameboy zerd	杰德传说 (日本)
gameboy zerd2	杰德传说2-伪神领域 (日本)
gameboy zoids	索斯机械兽传说 (日本)
gameboy zool	忍者猫眼 (欧洲)
gameboy zoolu	忍者猫眼 (美国)
gameboy zoop	冲撞方块 (欧洲, 美国)
gameboy zoopj	冲撞方块 (日本)
gameboy zoopp	冲撞方块 (原型版)
gamecom batmanr	蝙蝠侠与罗宾
gamecom centiped	蜈蚣
gamecom dukenuke	毁灭公爵3D
gamecom fightmix	VR战士对格斗之蛇
gamecom frogger	青蛙过街
gamecom indy500	印第安纳波利斯500
gamecom jeopardy	美国名人智力竞答
gamecom lightout	熄灯
gamecom lostwrld	失落的世界 - 侏罗纪公园
gamecom mktrilgy	致命格斗5
gamecom monopoly	大富翁
gamecom re2	生化危机2
gamecom scrabble	拼字游戏
gamecom sonicjam	索尼克JAM
gamecom sotn	恶魔城：月下夜想曲 (原型版)
gamecom wheelfor	命运之轮
gamegear 5in1fun	趣味合集5合1 (美国)
gamegear aaharima	播磨滩相扑 (日本)
gamegear addfam	亚当斯一家 (世界)
gamegear advbatmr	蝙蝠侠与罗宾汉 (欧洲, 美国)
gamegear advbatmrp1	蝙蝠侠与罗宾汉 (原型版, 19950507)
gamegear advbatmrp2	蝙蝠侠与罗宾汉 (原型版, 19950506)
gamegear advbatmrp3	蝙蝠侠与罗宾汉 (原型版, 19950506-B)
gamegear advbatmrp4	蝙蝠侠与罗宾汉 (原型版, 19950504)
gamegear advbatmrp5	蝙蝠侠与罗宾汉 (原型版, 19950502)
gamegear advbatmrp6	蝙蝠侠与罗宾汉 (原型版, 19950430)
gamegear advbatmrp7	蝙蝠侠与罗宾汉 (原型版, 19950429-A)
gamegear advbatmrp8	蝙蝠侠与罗宾汉 (原型版, 19950427)
gamegear aerialas	空中突击 (世界, v0)
gamegear aerialasj	空中突击 (日本, v1)
gamegear aerialastw	空中突击 (中国台湾, SMS mode)
gamegear agassi	阿加西网球 (美国)
gamegear agassip	阿加西网球 (原型版)
gamegear aladdin	迪士尼阿拉丁 (欧洲, 美国, 巴西)
gamegear aladdinj	迪士尼阿拉丁 (日本)
gamegear aladdinp1	迪士尼阿拉丁 (原型版, 19940113)
gamegear aladdinp2	迪士尼阿拉丁 (原型版, 19940111)
gamegear aladdinp3	迪士尼阿拉丁 (原型版, 19931229)
gamegear alexkidd	亚历克斯在奇异世界 (中国台湾, SMS mode)
gamegear alien3	外星人³ (欧洲, 美国)
gamegear alien3j	外星人³ (日本)
gamegear aliensyn	异型特攻队 (欧洲, 美国)
gamegear aliensynj	异型特攻队 (日本)
gamegear arcadecl	街机游戏合集 (美国)
gamegear archrivl	强力对手 (美国)
gamegear arena	竞技场 (欧洲, 美国)
gamegear argosnj	阿尔戈斯十字剑 (中国台湾, SMS mode)
gamegear ariel	迪斯尼之小美人鱼 (欧洲, 美国)
gamegear arliel	阿利尔-水晶传说 (日本)
gamegear astermis	高卢人-伟大营救 (欧洲)
gamegear axbattlr	AX战士-黄金斧传说 (欧洲, 美国, v2.4)
gamegear axbattlrj	AX战士-黄金斧传说 (日本, v1.5)
gamegear axbattlrp	AX战士-黄金斧传说 (欧洲, 美国, 原型版 v2.0)
gamegear bakubaku	巴库巴库动物 (欧洲)
gamegear bakubakuj	动物方块 (日本)
gamegear bakubakuu	巴库巴库动物 (美国)
gamegear bam	泡泡龙方块 (欧洲, 美国)
gamegear barbiesm	芭比-超级模特 (原型版)
gamegear bartman	辛普森一家 - 巴特接触辐射人 (美国)
gamegear bartvssm	辛普森一家 - 巴特决战太空怪 (欧洲, 美国)
gamegear bartvswd	辛普森一家 - 巴特对抗世界 (世界)
gamegear batmanf	永远的蝙蝠侠 (世界)
gamegear batmanrn	蝙蝠侠回归 (世界)
gamegear batterup	棒球场 (欧洲, 美国)
gamegear beast	兽之影 (中国台湾, SMS mode)
gamegear beavis	瘪四与大头蛋 (欧洲, 美国)
gamegear beavisp	瘪四与大头蛋 (原型版?)
gamegear berens	贝贝熊野营探险 (美国)
gamegear berensp01	贝贝熊野营探险 (原型版, 19940826)
gamegear berensp02	贝贝熊野营探险 (原型版, 19940826-B)
gamegear berensp03	贝贝熊野营探险 (原型版, 19940825-B)
gamegear berensp04	贝贝熊野营探险 (原型版, 19940824)
gamegear berensp05	贝贝熊野营探险 (原型版, 19940820)
gamegear berensp06	贝贝熊野营探险 (原型版, 19940819)
gamegear berensp07	贝贝熊野营探险 (原型版, 19940814)
gamegear berensp08	贝贝熊野营探险 (原型版, 19940813)
gamegear berensp09	贝贝熊野营探险 (原型版, 19940812)
gamegear berensp10	贝贝熊野营探险 (原型版, 19940811)
gamegear berensp11	贝贝熊野营探险 (原型版, 19940811-A)
gamegear berensp12	贝贝熊野营探险 (原型版, 19940801)
gamegear berensp13	贝贝熊野营探险 (原型版, 19940727)
gamegear berensp14	贝贝熊野营探险 (原型版, 19940722)
gamegear berensp15	贝贝熊野营探险 (原型版, 19940721)
gamegear berensp16	贝贝熊野营探险 (原型版, 19940715-B)
gamegear berensp17	贝贝熊野营探险 (原型版, 19940628)
gamegear berlin	柏林墙 (日本)
gamegear bighurt	法兰克汤姆斯棒球 (美国)
gamegear blackblt	黑带 (中国台湾, SMS mode)
gamegear bonkers	迪斯尼之邦卡猫 (欧洲, 美国)
gamegear bonkersp01	迪斯尼之邦卡猫 (原型版, 19941212-D)
gamegear bonkersp02	迪斯尼之邦卡猫 (原型版, 19941211)
gamegear bonkersp03	迪斯尼之邦卡猫 (原型版, 19941208-C)
gamegear bonkersp04	迪斯尼之邦卡猫 (原型版, 19941208-B)
gamegear bonkersp05	迪斯尼之邦卡猫 (原型版, 19941207-C)
gamegear bonkersp06	迪斯尼之邦卡猫 (原型版, 19941205)
gamegear bonkersp07	迪斯尼之邦卡猫 (原型版, 19941203)
gamegear bonkersp08	邦克斯行动 (原型版, 19941129)
gamegear bonkersp09	邦克斯行动 (原型版, 19941126)
gamegear bonkersp10	邦克斯行动 (原型版, 19941123)
gamegear bonkersp11	邦克斯行动 (原型版, 19941121)
gamegear bonkersp12	邦克斯行动 (原型版, 19941115)
gamegear bonkersp13	邦克斯行动 (原型版, 19941031)
gamegear brkthru	突破 (原型版)
gamegear bship	战舰 (欧洲, 美国)
gamegear btoads	忍者蛙 (欧洲, 日本)
gamegear btoadsu	忍者蛙 (美国)
gamegear bublbobl	泡泡龙 (欧洲, 美国)
gamegear bublboblp	泡泡龙 (原型版)
gamegear bugsbun	宾尼兔-危机重重 (欧洲, 美国)
gamegear busterb	破坏球 (日本)
gamegear busterf	爆发搏斗 (日本)
gamegear caesars	拉斯维加斯赌场 (美国)
gamegear captaven	上尉密令 (欧洲, 美国)
gamegear carlicen	驾驶执照 (日本)
gamegear casinofn	赌场娱乐合集 (美国)
gamegear castlill	幻境城堡-米老鼠历险记 (欧洲, 美国, SMS mode)
gamegear castlillj	米老鼠-幻影城堡 (日本, SMS mode)
gamegear chakan	查坎 (欧洲, 美国)
gamegear champhck	冠军冰球 (欧洲)
gamegear chasehq	追踪HQ (美国, SMS mode)
gamegear chasehqj	追踪HQ (日本, SMS mode)
gamegear cheese	芝士灾难-飞毛腿冈萨雷斯 (欧洲)
gamegear chessmst	国际象棋大师 (欧洲, 美国)
gamegear chicago	芝加哥集团 (美国, 巴西)
gamegear chicagop01	芝加哥集团 (原型版, 19950721)
gamegear chicagop02	芝加哥集团 (原型版, 19950721-B)
gamegear chicagop03	芝加哥集团 (原型版, 19950720)
gamegear chicagop04	芝加哥集团 (原型版, 19950719)
gamegear chicagop05	芝加哥集团 (原型版, 19950711)
gamegear chicagop06	芝加哥集团 (原型版, 19950710)
gamegear chicagop07	芝加哥集团 (原型版, 19950707)
gamegear chicagop08	芝加哥集团 (原型版, 19950705)
gamegear chicagop09	芝加哥集团 (原型版, 19950703)
gamegear chicagop10	芝加哥集团 (原型版, 19950630-B)
gamegear chicagop11	芝加哥集团 (原型版, 19950629)
gamegear chicagop12	芝加哥集团 (原型版, 19950629-B)
gamegear chicagop13	芝加哥集团 (原型版, 19950628)
gamegear chicagop14	芝加哥集团 (原型版, 19950626)
gamegear chicagop15	芝加哥集团 (原型版, 19950622)
gamegear chicagop16	芝加哥集团 (原型版, 19950620)
gamegear chicagop17	芝加哥集团 (原型版, 19950619)
gamegear chicagop18	芝加哥集团 (原型版, 19950614)
gamegear chicagop19	芝加哥集团 (原型版, 19950612)
gamegear chicagop20	芝加哥集团 (原型版, 19950608)
gamegear chicagop21	芝加哥集团 (原型版, 19950607)
gamegear chicagop22	芝加哥集团 (原型版, 19950605)
gamegear chicagop23	芝加哥集团 (原型版, 19950601)
gamegear chicagop24	芝加哥集团 (原型版, 19950505)
gamegear choplft3	直升机大战3 (美国)
gamegear chuckrck	呆呆原始人1 (世界)
gamegear chuckrckp	呆呆原始人1 (世界, 原型版)
gamegear chukrck2	呆呆原始人2 (欧洲)
gamegear chukrck2u	呆呆原始人2 (美国)
gamegear cj	大象逃亡 (欧洲)
gamegear cjp	大象逃亡 (原型版)
gamegear cliffh	绝岭雄风 (美国)
gamegear clutchit	致胜棒球手 (美国)
gamegear cocakid	可口可乐小子 (日本)
gamegear columns	宝石方块 (欧洲, 美国, 巴西)
gamegear columnsj	宝石方块 (日本)
gamegear columnsj1	宝石方块 (日本, 较老的)
gamegear coolspot	七喜小子 (欧洲)
gamegear coolspotu	七喜小子 (美国)
gamegear cosmic	宇宙首领 (欧洲)
gamegear crashdum	不可思议之人偶 (世界)
gamegear crayon	蜡笔小新 - 对决! 量子恐慌!! (日本)
gamegear crazyfac	疯狂面容 (欧洲, 原型版)
gamegear crystalw	水晶勇士 (欧洲, 美国)
gamegear cutthr	割喉岛 (欧洲, 美国)
gamegear cutthrp	割喉岛 (原型版 19950916)
gamegear cybers	机动忍者 (中国台湾, SMS mode)
gamegear daffy	达菲鸭在好莱坞 (欧洲)
gamegear daisenrg	对战型大战略G (日本)
gamegear dcrystal	龙之水晶 (欧洲, 美国)
gamegear dcrystalj	龙之水晶 (日本)
gamegear ddanpei	炎之斗球儿-弹平 (日本)
gamegear ddragon	双截龙 (欧洲, 美国)
gamegear ddragonp	双截龙 (欧洲, 美国, 原型版)
gamegear ddragontw	双截龙 (中国台湾, SMS mode)
gamegear deepduck	唐老鸭-危机重重 (欧洲, 美国)
gamegear defoasis	绿洲守护者 (欧洲, 美国)
gamegear defoasisp	绿洲守护者 (欧洲, 美国, 原型版)
gamegear desert	飞奔的火鸡 (欧洲)
gamegear desertu	飞奔的火鸡 (美国)
gamegear devilish	恶魔弹珠台 (欧洲, 巴西)
gamegear devilishj	恶魔弹珠台 (日本)
gamegear devilishu	恶魔弹珠台 (美国)
gamegear dhead	铁头小子 (欧洲, 美国)
gamegear dheadj	铁头小子 (日本)
gamegear dheadp1	铁头小子 (原型版, 19940705)
gamegear dheadp2	铁头小子 (原型版, 19940701)
gamegear dheadp3	铁头小子 (原型版, 19940615)
gamegear dheadp4	铁头小子 (原型版)
gamegear dinobash	大鼻子原始人之恐龙痛击者 (欧洲, 原型版)
gamegear dokidoki	心跳加速 企鹅大陆 - 宇宙大冒险 (中国台湾, SMS mode)
gamegear donald42	唐老鸭之四块秘宝 (日本)
gamegear donaldld	唐老鸭之幸运硬币 (日本)
gamegear donaldmw	唐老鸭-魔法世界 (日本)
gamegear doraemon	小叮当-火热火热口袋天堂 (日本)
gamegear dracula	吸血鬼德古拉 (欧洲)
gamegear draculau	吸血鬼德古拉 (美国)
gamegear dragon	李小龙传奇 (欧洲)
gamegear dragonp	李小龙传奇 (原型版)
gamegear dragonu	李小龙传奇 (美国)
gamegear drfrankn	弗兰肯博士 (原型版 演示版)
gamegear dropzone	跌落地带 (欧洲)
gamegear drrobotn	蛋头博士的神奇机器 (欧洲, 美国)
gamegear drsc	大卫罗宾逊-篮球 (non-playable demo)
gamegear drsch	大卫罗宾逊-篮球 (non-playable demo, 修改版)
gamegear dstrike	沙漠风暴-重返海湾 (欧洲)
gamegear dstrikeu	沙漠风暴-重返海湾 (美国)
gamegear dunkkids	灌篮小子 (日本)
gamegear ecco	小海豚1 (欧洲, 美国)
gamegear ecco2	海豚 II - 潮汐之钟 (欧洲, 美国)
gamegear ecco2j	小海豚2-潮汐时间 (日本)
gamegear eccoj	小海豚1 (日本)
gamegear eccop1	小海豚1 (eprom 20 原型版)
gamegear eccop2	小海豚1 (原型版, 19930614)
gamegear ejim	蚯蚓战士 (欧洲)
gamegear ejimu	蚯蚓战士 (美国)
gamegear ernieeg	艾尔斯高尔夫 (欧洲)
gamegear eternleg	永恒传说 (日本)
gamegear evander	埃万德·霍利菲尔德拳击赛 (欧洲, 美国)
gamegear excdizzy	优秀的迪兹合集 (欧洲, SMS mode)
gamegear excdizzyp	优秀的迪兹合集 (原型版, SMS mode)
gamegear f1	一级方程式赛车 (欧洲, 美国)
gamegear f15se	F-15打击之鹰 (欧洲, 美国)
gamegear f1wce	一级方程式世界冠军赛 (欧洲)
gamegear faceball	小精灵炮弹对决2000 (日本)
gamegear factoryp	工厂大战 (欧洲, 巴西)
gamegear fantdizz	不可思议的迪兹 (欧洲, SMS mode)
gamegear fantzone	幻想地带 (欧洲, 日本)
gamegear fantzoneu	幻想地带 (美国)
gamegear fatfursp	饿狼传说特别版 (欧洲)
gamegear fatfurspu	饿狼传说特别版 (美国)
gamegear fifa	FIFA国际足球 (欧洲, 美国)
gamegear fifa96	FIFA足球96 (欧洲, 美国)
gamegear fifaj	FIFA国际足球 (日本)
gamegear finalbb	终极泡泡龙 (中国台湾, SMS mode)
gamegear foreman	真实拳击 (世界)
gamegear forgottn	失落的世界 (中国台湾, SMS mode)
gamegear fray	征战-修行篇 (日本)
gamegear fredcoup	弗雷德卡波斯-高尔夫 (美国)
gamegear fredcoupj	弗雷德卡波斯-高尔夫 (日本)
gamegear frogger	青蛙过街 (美国, 原型版)
gamegear galaga2	大蜜蜂2 (欧洲)
gamegear galaga91	大蜜蜂91 (日本)
gamegear gamble	扑克大战 (日本)
gamegear gambler	自己中心派 (日本)
gamegear garfield	加菲猫在行动 (欧洲, 美国)
gamegear garousp	饿狼传说 Special (日本)
gamegear gearstad	激斗棒球 (日本)
gamegear gearstah	激斗棒球-平成版 (日本)
gamegear gearwork	齿轮工厂 (美国)
gamegear georgeko	KO拳击 (欧洲, 美国)
gamegear ggaleste	GG银河号 (日本)
gamegear ggdora	GG 哆啦A梦 - 野良之介的野望 (日本)
gamegear ggorby	幸运的戈尔比 (日本)
gamegear ggport	GG描绘女孩版 - Pai Chen (日本)
gamegear ggport1	GG描绘女孩版 - Yuuki Akira (日本)
gamegear gloc	过载空战 (欧洲, 美国, 巴西)
gamegear glocj	过载空战 (日本, v1)
gamegear glocj1	过载空战 (日本, v0)
gamegear godzilla	哥斯拉 - 怪兽大进击 (日本)
gamegear gprider	GP车手 (欧洲, 美国)
gamegear gpriderj	GP车手 (日本)
gamegear gpriderp	GP车手 (原型版, 19940104)
gamegear greatbsk	非凡篮球 (中国台湾, SMS mode)
gamegear greendog	绿狗 (欧洲, 美国)
gamegear griffin	格里芬战车 (日本)
gamegear gunstar	火枪英雄 (日本)
gamegear halleyw	哈雷大战 (欧洲, 美国, 巴西)
gamegear halleywj	哈雷大战 (日本)
gamegear headbust	机器人竞技场 (日本)
gamegear heavyw	重量级冠军 (日本)
gamegear hokuto	北斗神拳 (中国台湾, SMS mode)
gamegear homea	小鬼当家 (欧洲, 美国)
gamegear hook	铁钩船长 (欧洲)
gamegear hooku	铁钩船长 (美国)
gamegear hulk	绿巨人 (欧洲, 美国)
gamegear hurrican	飓风队 (欧洲)
gamegear hyokkohj	瓢箪島 (日本)
gamegear hypyak92	超职业野球92 (日本)
gamegear indycrus	圣战奇兵 (欧洲, 美国)
gamegear inudais	宠物俱乐部-最爱狗狗 (日本)
gamegear ironman	铁人XO-重金属之战 (欧洲, 美国)
gamegear ironman1	铁人XO-重金属之战 (美国, 替换版)
gamegear itchy	猫鼠大战 (欧洲, 美国)
gamegear jangpun2	街霸2 (Kor, SMS mode)
gamegear jb007	詹姆士邦得007-决斗 (欧洲)
gamegear jdredd	特警判官 (欧洲, 美国)
gamegear jeopards	美国名人智力竞答-体育篇 (欧洲, 美国)
gamegear jeopardy	美国名人智力竞答 (美国)
